nimi;puolue;ika;kanta
Alatalo Mikko;kesk;1951;ei
Anttila Sirkka-Liisa;kesk;1943;ei
Autto Heikki;kok;1984;ei
Eerola Juho;ps;1975;ei
Elomaa Ritva;ps;1955;ei
G‰stgivars Lars Erik;r;1946;ei
Hakkarainen Teuvo;ps;1960;ei
Hautala Lasse;kesk;1963;ei
Heikkil‰ Lauri;ps;1957;ei
Hemmil‰ Pertti;kok;1955;ei
Hirvisaari James;m11;1960;ei
Holmlund Anne;kok;1964;ei
Hongisto Reijo;ps;1962;ei
Immonen Olli;ps;1986;ei
Jalonen Ari;ps;1974;ei
Jokinen Kalle;kok;1961;ei
Joutsenlahti Anssi;ps;1943;ei
Jurva Johanna;ps;1977;ei
J‰‰skel‰inen Jouko;kd;1952;ei
J‰‰skel‰inen Pietari;ps;1947;ei
Kerola Inkeri;kesk;1957;ei
Kettunen Pentti;ps;1942;ei
Kivel‰ Kimmo;ps;1961;ei
Kiviranta Esko;kesk;1950;ei
Kokko Osmo;ps;1954;ei
Kurvinen Esko;kok;1952;ei
Lehti Eero;kok;1944;ei
Lindstrˆm Jari;ps;1965;ei
Lohela Maria;ps;1978;ei
Lohi Markus;kesk;1972;ei
Louhelainen Anne;ps;1965;ei
Maijala Eeva-Maria;kesk;1967;ei
Mattila Pirkko;ps;1964;ei
M‰kip‰‰ Lea;ps;1947;ei
M‰ntyl‰ Hanna;ps;1974;ei
M‰ntymaa Markku;kok;1954;ei
Mˆls‰ Martti;ps;1952;ei
Niikko Mika;ps;1967;ei
Niinistˆ Jussi;ps;1970;ei
Oinonen Pentti;ps;1952;ei
PackalÈn Tom;ps;1969;ei
Palm Sari;kd;1966;ei
Palola Mikael;kok;1976;ei
Pekkarinen Mauri;kesk;1947;ei
Peltokorpi Terhi;kesk;1975;ei
Piirainen Raimo;sd;1952;ei
Pirttilahti Arto;kesk;1963;ei
Raatikainen Mika;ps;1961;ei
Rajam‰ki Kari;sd;1948;ei
Rantakangas Antti;kesk;1964;ei
Rauhala Leena;kd;1942;ei
Ravi Pekka;kok;1949;ei
Reijonen Eero;kesk;1947;ei
Risikko Paula;kok;1960;ei
Rundgren Simo;kesk;1953;ei
Ruohonen-Lerner Pirkko;ps;1957;ei
R‰s‰nen P‰ivi;kd;1959;ei
Saarakkala Vesa-Matti;ps;1984;ei
Sankelo Janne;kok;1967;ei
Sasi Kimmo;kok;1952;ei
Sipil‰ Juha;kesk;1961;ei
Skinnari Jouko;sd;1946;ei
Soini Timo;ps;1962;ei
Soukola Ismo;ps;1960;ei
Tolppanen Maria;ps;1952;ei
Tolvanen Kari;kok;1961;ei
Torniainen Ari;kesk;1956;ei
Tossavainen Reijo;ps;1948;ei
Turunen Kaj;ps;1960;ei
Tuupainen Kauko;ps;1940;ei
Tˆlli Tapani;kesk;1951;ei
Vehkaper‰ Mirja;kesk;1976;ei
Virtanen Pertti;ps;1951;ei
V‰h‰m‰ki Ville;ps;1979;ei
V‰‰t‰inen Juha;ps;1941;ei
Zyskowicz Ben;kok;1954;ei
÷stman Peter;kd;1961;ei
Heinonen Timo;kok;1975;ep√§v
Juvonen Arja;ps;1967;ep√§v
Kalli Timo;kesk;1947;ep√§v
Kanerva Ilkka;kok;1948;ep√§v
Kiuru Pauli;kok;1962;ep√§v
Kopra Jukka;kok;1967;ep√§v
Korhonen Timo V.;kesk;1959;ep√§v
K‰‰ri‰inen Seppo;kesk;1948;ep√§v
Lauslahti Sanna;kok;1966;ep√§v
Lepp‰ Jari;kesk;1959;ep√§v
Lintil‰ Mika;kesk;1966;ep√§v
Matikainen-Kallstrˆm Marjo;kok;1965;ep√§v
M‰kel‰ Outi;kok;1974;ep√§v
Rehula Juha;kesk;1963;ep√§v
Rossi Markku;kesk;1956;ep√§v
Saarinen Matti;sd;1947;ep√§v
Salolainen Pertti;kok;1940;ep√§v
Satonen Arto;kok;1966;ep√§v
Toivakka Lenita;kok;1961;ep√§v
Vahasalo Raija;kok;1961;ep√§v
Wallin Harry;sd;1953;ep√§v
Alanko-Kahiluoto Outi;vihr;1966;jaa
Arhinm‰ki Paavo;vas;1976;jaa
Backman Jouni;sd;1959;jaa
Blomqvist Thomas;r;1965;jaa
Brax Tuija;vihr;1965;jaa
Donner Jˆrn;r;1933;jaa
Eestil‰ Markku;kok;1956;jaa
Eloranta Eeva-Johanna;sd;1966;jaa
Feldt-Ranta Maarit;sd;1968;jaa
Filatov Tarja;sd;1963;jaa
Gestrin Christina;r;1967;jaa
Grahn-Laasonen Sanni;kok;1983;jaa
Gustafsson Jukka;sd;1947;jaa
Guzenina Maria;sd;1969;jaa
Haapanen Satu;vihr;1969;jaa
Haavisto Pekka;vihr;1958;jaa
Harkimo Leena;kok;1963;jaa
Henriksson Anna-Maja;r;1964;jaa
Hiltunen Rakel;sd;1940;jaa
Huovinen Susanna;sd;1972;jaa
H‰nninen Katja;vas;1980;jaa
Ihalainen Lauri;sd;1947;jaa
Jaskari Harri;kok;1964;jaa
Jungner Mikael;sd;1965;jaa
Kaikkonen Antti;kesk;1974;jaa
Kalliorinne Risto;vas;1971;jaa
Kalmari Anne;kesk;1968;jaa
Kantola Ilkka;sd;1957;jaa
